"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"1",8,2,6,5,2,4,7,14,12,23,22,35,20,23,29,14,21,15,15,13,16,16,9,5
"5",2,8,3,7,3,4,6,4,8,11,13,18,19,23,22,13,24,21,22,13,10,12,5,9
"6",8,2,3,2,6,3,3,3,8,7,9,13,14,12,10,9,9,6,7,11,4,8,12,8
"7",9,7,4,2,3,3,4,4,4,5,8,6,7,3,11,6,10,8,3,0,6,5,0,5
"9",12,6,5,1,7,4,4,5,12,7,8,7,7,7,14,8,8,12,15,10,12,12,15,11
"10",7,10,6,6,3,3,6,4,12,20,32,25,18,22,20,16,22,33,34,12,16,10,7,12
"13",12,6,9,4,5,4,6,2,23,22,20,26,18,25,26,23,28,22,23,32,17,18,14,12
"14",9,17,11,5,4,2,12,13,22,17,36,25,22,33,35,31,34,29,30,34,24,24,17,13
"17",9,16,8,5,4,4,6,17,14,21,24,34,18,20,23,18,24,29,28,14,13,14,18,14
"18",19,15,8,9,6,6,9,14,30,31,25,28,28,34,33,15,29,24,35,24,22,24,15,15
"19",15,9,10,7,5,9,19,20,43,41,41,50,50,46,52,54,33,46,35,28,34,24,21,19
"20",3,6,2,2,1,5,0,5,19,14,20,14,24,13,9,15,16,14,10,13,19,6,11,5
"22",1,0,0,0,0,0,1,5,6,7,5,5,4,2,10,6,5,5,2,3,3,1,1,0
"23",6,3,1,4,1,3,3,6,10,18,11,24,16,13,18,19,12,10,17,13,1,5,9,7
"24",3,4,2,2,0,2,0,6,16,9,6,7,6,11,7,11,13,16,13,13,11,6,4,2
"25",5,3,3,2,5,5,12,12,15,15,12,15,13,10,16,13,19,14,16,11,4,4,9,5
"26",1,0,3,1,0,2,2,8,12,11,7,4,6,8,12,4,12,5,8,4,9,5,2,4
"28",5,2,1,0,0,0,1,5,7,7,8,6,7,5,10,8,6,3,9,9,3,3,4,3
"30",3,1,0,3,0,2,2,3,7,7,5,7,12,7,4,8,9,5,8,4,4,5,4,2
"32",7,4,0,0,0,1,2,1,12,10,12,9,7,12,12,11,12,13,13,8,3,6,6,1
"33",6,3,3,4,2,1,5,4,15,9,7,11,12,13,12,11,14,15,9,10,5,6,7,6
"34",6,4,4,4,7,4,2,6,9,11,7,15,10,11,9,12,20,10,15,15,12,7,9,9
"40",6,4,5,1,5,8,4,11,16,17,20,16,16,13,11,12,28,20,13,13,10,7,11,6
"41",4,4,0,3,3,3,9,19,16,14,13,11,20,14,9,13,15,7,5,11,4,7,6,3
"42",2,2,1,1,1,0,5,7,13,12,7,10,9,6,15,16,17,12,7,7,7,6,4,1
"43",5,3,6,4,6,2,12,10,31,16,16,21,11,17,22,11,28,17,15,13,8,16,14,6
"44",5,5,4,6,8,5,11,14,12,20,12,13,15,17,16,10,18,18,17,13,15,10,7,3
"45",5,2,7,1,4,2,6,29,20,19,14,18,24,19,18,15,24,14,17,18,17,12,10,5
"46",2,1,2,1,6,1,5,7,26,10,17,12,17,17,6,21,6,18,15,6,13,6,6,4
"47",8,4,12,3,9,4,11,18,40,50,23,30,27,21,37,34,39,42,37,26,23,14,8,17
"48",1,1,1,1,3,0,2,8,16,12,15,10,20,13,12,10,19,19,15,10,16,10,6,0
"49",4,2,0,4,2,1,4,13,35,19,14,17,16,18,19,15,24,21,16,21,9,4,7,5
"50",2,1,4,2,1,1,0,8,23,11,13,12,20,15,13,13,16,11,21,18,6,5,6,3
"52",5,5,6,2,8,6,7,16,24,22,16,22,16,20,23,18,28,12,23,14,11,12,9,3
"60",4,3,4,1,4,1,2,7,23,20,15,7,16,18,25,26,16,4,9,12,11,5,2,5
"61",8,4,7,3,5,4,3,11,17,30,27,25,19,35,37,31,32,26,21,16,16,12,15,11
"62",5,4,4,5,6,4,6,7,20,32,18,16,18,21,34,37,26,26,18,32,19,18,12,9
"63",8,3,1,7,6,4,12,9,31,18,19,15,12,24,28,20,24,19,20,17,16,13,9,5
"66",8,11,2,5,3,0,10,5,29,22,32,39,29,30,27,28,35,28,37,25,20,12,18,12
"67",12,13,11,6,5,5,11,12,29,20,34,36,26,21,33,33,25,32,28,28,16,13,19,3
"68",11,3,3,0,2,11,5,18,26,24,26,16,25,30,33,23,24,23,19,18,13,9,12,7
"69",3,3,4,4,0,3,3,6,19,11,12,12,13,13,14,15,16,16,15,8,8,8,7,7
"70",6,6,3,4,4,7,4,6,20,30,23,25,30,34,28,33,30,26,25,29,22,14,12,7
"71",9,7,5,1,8,7,2,5,17,24,22,13,18,11,11,21,29,24,21,15,23,8,13,4
"72",5,5,2,2,4,2,13,14,32,30,23,26,32,25,34,23,27,23,18,14,9,5,9,12
"73",8,10,6,0,4,4,11,7,25,14,21,12,14,17,17,20,18,25,17,8,11,8,5,5
"75",9,9,6,8,10,14,19,34,46,42,36,44,23,51,49,53,53,38,40,34,28,19,21,13
"76",5,3,2,0,2,2,3,6,16,8,16,11,8,13,25,15,11,15,16,4,6,3,4,5
"77",12,5,5,5,5,6,3,6,17,19,13,12,16,12,18,18,19,12,16,12,17,15,8,5
"78",4,5,1,1,3,1,4,3,13,22,18,16,14,15,28,20,23,16,20,20,12,9,4,4
"79",8,4,4,5,5,3,1,9,18,15,14,21,17,21,27,25,31,22,27,21,11,8,9,7
"81",5,3,4,1,1,1,3,11,9,12,11,9,9,8,12,15,5,13,16,8,12,6,4,4
"83",5,3,5,2,3,2,4,9,17,12,10,19,14,14,17,20,10,22,8,14,10,12,14,5
"84",6,7,3,1,4,9,7,13,14,28,18,34,29,18,26,20,23,34,24,14,16,9,11,9
"88",7,4,1,3,2,1,2,6,12,15,7,15,17,7,14,13,10,15,11,11,8,4,5,5
"90",14,10,4,5,6,14,10,10,21,30,19,17,24,22,23,33,34,32,24,24,15,12,10,2
"94",13,4,9,5,7,2,5,8,23,21,18,24,19,17,27,23,15,19,12,9,6,13,13,8
"100",3,1,0,1,3,2,0,4,12,3,2,6,1,8,4,2,10,8,3,1,5,3,5,2
"101",1,3,2,2,0,1,4,3,10,7,8,5,9,12,12,11,10,5,7,5,8,3,6,4
"102",10,4,5,4,9,11,13,22,28,32,22,22,25,38,27,25,29,40,34,21,19,7,14,10
"103",5,7,5,2,3,7,8,13,43,26,22,17,20,24,28,25,38,23,22,18,13,10,11,4
"104",4,6,5,4,9,4,15,13,33,35,35,27,28,38,34,42,38,34,32,27,20,20,12,12
"105",13,9,10,9,7,10,19,27,65,69,30,43,52,63,46,52,76,63,56,44,30,32,21,16
"106",12,6,12,10,3,8,10,20,42,25,21,21,14,22,45,16,39,36,27,20,17,15,21,5
"107",4,5,4,1,5,3,12,15,34,41,34,21,19,25,30,27,40,31,31,20,11,26,10,12
"108",8,13,10,7,8,18,13,25,42,45,32,54,32,31,37,40,40,32,30,35,20,18,13,17
"109",17,9,6,3,7,5,13,28,70,65,60,54,53,63,70,59,62,64,38,46,33,27,22,29
"110",6,4,4,5,9,6,12,18,27,26,20,19,14,24,24,26,35,27,30,19,23,11,12,15
"111",6,7,3,1,2,3,11,14,31,39,20,29,32,32,26,30,29,23,24,16,19,6,6,6
"112",4,6,2,2,3,9,5,13,21,24,23,15,33,24,18,23,29,18,13,16,16,12,14,6
"113",12,5,6,5,4,8,15,14,53,31,22,16,19,14,30,19,26,20,22,19,25,13,14,22
"114",8,15,6,10,6,10,17,11,35,29,28,35,38,30,41,45,39,34,22,27,20,17,11,16
"115",9,10,8,5,7,8,12,14,31,24,22,26,21,25,32,43,24,32,27,17,18,19,22,5
"120",9,3,2,2,4,3,6,17,37,34,22,17,21,32,23,30,22,20,18,14,11,9,7,5
"121",0,2,0,2,0,1,0,3,9,4,3,4,2,3,3,5,6,6,9,2,3,3,1,2
"122",12,7,7,1,6,2,3,18,30,28,15,17,30,31,37,31,32,32,18,20,9,15,4,6
"123",7,4,2,3,3,1,5,13,19,16,7,12,21,13,17,11,32,18,22,15,10,9,6,10
